n-999999999998,  zeta 
1029, -4.448634
1030, 0.724377
1031, -8.311432
1032, 1.738282
1033, -8.213930
1034, -6.558270
1035, 0.415396
1036, 0.091964
1037, -0.914716
1038, -0.085319
1039, -0.141015
1040, 0.062991
1041, -2.664745
1042, 1.318000
1043, -1.810149
1044, 0.229373
1045, -0.089918
1046, 1.150116
1047, -0.169811
1048, -1.772974
1049, -4.687480
1050, 5.926650
1051, -2.451763
1052, 0.227071
1053, -4.600763
1054, 2.799579
1055, -2.096268
1056, 1.096949
1057, -1.069836
1058, 1.608060
1059, -0.412954
1060, 1.515860
1061, -0.937023
1062, 0.722830
1063, 3.755928
1064, 26.220310
1065, 1.981906
1066, 1.525891
1067, -6.116872
1068, -0.911842
1069, -0.653402
1070, 5.957649
1071, 0.350591
1072, 1.265589
1073, -1.083029
1074, 1.228264
1075, -2.533267
1076, 0.502465
1077, -0.111869
1078, 1.684980
1079, -3.802856
1080, 0.980474
1081, -2.349297
1082, -0.405271
1083, -0.376594
1084, 0.229513
1085, -0.328893
1086, -0.391464
1087, -1.646844
1088, 1.226223
1089, -0.169755
1090, -0.548284
1091, 2.714030
1092, -6.067671
1093, -4.399608
1094, 17.916686
1095, -10.496100
1096, 0.667143
1097, -13.974254
1098, 13.425584
1099, 10.572923
1100, -0.561510
1101, -0.464005
1102, 1.847798
1103, -1.936534
1104, 2.123766
1105, -1.485528
1106, 1.123819
1107, -1.365460
1108, 0.263673
1109, -0.275433
1110, 1.984672
1111, -1.121099
1112, 1.921732
1113, -0.616730
1114, 1.440857
1115, -1.293721
1116, 1.794734
1117, -4.914961
1118, 1.031110
1119, -1.650123
1120, 1.569865
1121, -2.650440
1122, -0.061388
1123, -0.164925
1124, -0.488250
1125, 0.101867
1126, 3.004174
1127, -1.640670
1128, 0.566428
1129, -11.676329
1130, -0.803154
1131, -0.527552
1132, 1.000571
1133, -3.113352
1134, 1.390536
1135, -1.508791
1136, 9.645565
1137, -0.463132
1138, 15.388763
1139, -0.749415
1140, 3.095308
1141, 0.183069
1142, 3.014515
1143, 0.475315
1144, -0.162239
1145, -1.360244
1146, 1.866429
1147, 1.014183
1148, 0.329095
1149, 0.007694
1150, 0.001400
1151, -0.910571
1152, 0.239384
1153, 0.319876
1154, -1.527884
1155, -1.912939
1156, 0.119070
1157, -13.344881
1158, -1.818548
1159, -0.282131
1160, 0.135080
1161, -0.256854
1162, 4.109616
1163, -2.691876
1164, 1.536366
1165, -1.637573
1166, -2.226479
1167, -21.543614
1168, 3.824707
1169, -2.236284
1170, 2.041855
1171, 0.034675
1172, 3.978820
1173, 0.427077
1174, 0.071196
1175, -3.127871
1176, -0.146140
1177, -0.887638
1178, 1.183323
1179, -0.036770
1180, 1.993946
1181, -3.612733
1182, 2.876080
